N,P,K,PointID,OC,pH,Clay,Silt,Sand
2.8,42.9,24.6,34103754,25.5,3.91,,,
19.9,164.9,460.3,34443774,503.5,3.91,,,
4.3,26.9,173.2,35163814,51.4,5.48,,,
16.1,102.8,313.0,32323656,470.3,3.76,,,
2.3,6.3,38.6,34463934,43.1,4.04,10.0,44.0,46.0
3.3,7.5,48.0,33983238,32.4,4.41,14.0,50.0,36.0
2.1,12.4,36.0,34043240,21.1,5.13,18.0,46.0,35.0
4.2,52.1,158.5,33723266,53.2,4.16,14.0,50.0,36.0
1.0,3.7,24.4,34203268,16.0,3.87,19.0,34.0,48.0
1.1,8.3,30.0,33663268,16.0,3.99,8.0,20.0,71.0
3.6,49.7,153.1,34123260,46.5,4.94,13.0,48.0,39.0
5.2,75.5,96.2,33723292,40.3,4.79,22.0,63.0,15.0
20.5,84.1,197.2,34163274,506.0,3.73,4.0,17.0,79.0
4.6,14.6,103.6,33523262,48.2,4.33,25.0,58.0,17.0
7.2,66.1,386.3,34743694,76.9,4.97,13.0,53.0,34.0
4.3,22.4,57.3,34203250,52.3,3.56,17.0,54.0,30.0
3.6,46.1,161.3,33683636,34.1,5.86,11.0,45.0,44.0
4.9,19.0,103.7,34983634,48.2,4.33,10.0,44.0,47.0
6.5,67.8,141.9,33203610,72.3,4.99,11.0,46.0,42.0
6.4,26.1,67.3,33923826,107.2,3.78,6.0,30.0,63.0
4.1,82.7,388.2,33623332,38.8,6.53,23.0,57.0,20.0
3.5,18.0,59.9,34383316,29.8,5.43,28.0,65.0,7.0
20.3,120.9,297.0,33923340,494.7,3.7,1.0,9.0,90.0
5.1,9.0,54.0,34083328,45.2,4.52,35.0,57.0,8.0
3.4,71.8,176.6,34543252,30.4,6.78,15.0,49.0,36.0
2.7,14.8,57.2,34883940,62.1,4.14,8.0,37.0,56.0
10.8,54.1,392.9,34683874,180.5,4.55,5.0,41.0,53.0
4.2,11.1,117.3,34823880,50.6,4.84,6.0,39.0,55.0
3.0,51.3,161.6,35623878,32.3,6.16,26.0,53.0,21.0
3.1,30.7,121.1,36143890,30.8,5.65,23.0,51.0,26.0
3.3,17.7,54.7,35523886,31.4,4.32,9.0,55.0,37.0
8.1,15.7,158.1,35343868,265.4,4.18,6.0,45.0,49.0
3.8,58.4,70.3,34903806,35.1,5.13,8.0,48.0,45.0
4.0,35.7,98.3,34883746,39.2,5.55,16.0,46.0,38.0
2.0,36.3,205.2,34863910,18.0,5.92,12.0,45.0,43.0
2.0,20.2,84.1,35623450,20.2,5.25,19.0,37.0,45.0
10.5,53.8,224.6,34783974,194.6,4.45,4.0,34.0,61.0
20.4,142.9,407.4,35483996,502.2,4.31,2.0,10.0,88.0
7.3,38.7,354.6,35163756,82.9,3.92,11.0,49.0,40.0
5.5,15.2,142.7,34503808,58.8,4.32,7.0,52.0,41.0
14.3,108.9,439.2,35163810,328.1,4.09,4.0,21.0,75.0
5.8,20.1,106.9,35083828,85.5,4.47,5.0,39.0,56.0
7.6,26.7,158.5,34283790,112.9,4.32,4.0,31.0,65.0
14.5,22.8,326.9,34743820,314.8,4.49,5.0,28.0,66.0
17.5,19.3,542.7,34983814,273.8,4.59,5.0,26.0,69.0
3.6,42.7,214.8,32743594,32.9,5.1,27.0,52.0,21.0
7.7,29.6,133.0,34023646,124.4,3.92,11.0,59.0,30.0
2.8,17.0,61.9,35243890,48.4,4.04,11.0,41.0,48.0
4.0,25.2,90.3,34543914,44.1,4.48,6.0,38.0,57.0
5.8,51.3,197.4,34203340,56.2,4.43,27.0,62.0,11.0
2.1,51.0,191.4,34963910,20.5,4.87,8.0,34.0,58.0
3.0,44.1,158.3,35263882,35.3,4.11,12.0,51.0,37.0
3.5,60.3,229.2,35003898,40.4,4.82,5.0,36.0,58.0
3.5,31.2,103.1,35563894,37.8,5.73,14.0,53.0,33.0
1.5,59.7,68.2,35223916,15.2,5.0,4.0,22.0,74.0
7.5,73.0,350.4,35923884,78.0,5.83,10.0,58.0,33.0
5.0,18.9,100.0,34543878,60.3,3.96,8.0,44.0,48.0
7.0,112.0,132.4,34803882,115.1,5.06,8.0,44.0,49.0
4.2,17.7,170.6,35223844,55.1,4.29,11.0,51.0,38.0
3.0,33.6,124.5,35403718,26.3,4.19,18.0,49.0,33.0
15.5,42.6,188.0,34583846,513.6,3.7,3.0,13.0,84.0
4.3,31.1,133.1,35703842,65.0,6.94,8.0,42.0,50.0
7.0,108.2,328.8,34303750,62.7,4.27,26.0,58.0,16.0
0.4,10.9,31.5,34263752,3.4,5.28,3.0,5.0,92.0
3.4,57.8,259.6,34483758,35.8,5.08,29.0,62.0,8.0
1.9,56.0,172.0,34763770,19.0,5.68,17.0,34.0,49.0
3.5,42.0,124.4,34663764,42.6,3.78,15.0,46.0,39.0
7.5,31.8,87.0,34583698,148.7,3.91,6.0,25.0,69.0
4.8,19.2,208.3,35843846,55.4,4.22,10.0,43.0,46.0
11.8,33.4,223.5,34083778,141.5,3.84,5.0,28.0,67.0
2.9,6.5,84.6,35103844,54.5,4.82,9.0,47.0,44.0
2.6,27.4,219.7,35743822,24.9,5.73,19.0,48.0,33.0
2.8,18.7,77.7,34843470,24.6,5.22,22.0,49.0,29.0
2.0,18.7,243.9,36683238,15.2,7.58,43.0,43.0,14.0
3.4,32.8,236.1,35303378,34.4,5.95,25.0,59.0,16.0
4.9,35.1,215.8,35623248,41.6,6.92,18.0,54.0,28.0
4.6,124.6,253.1,33803170,37.5,6.3,21.0,64.0,14.0
5.7,35.8,131.6,35163256,49.2,5.52,25.0,62.0,13.0
7.1,92.7,227.9,33483142,65.2,4.45,12.0,53.0,35.0
6.3,74.1,190.2,35263792,69.2,3.91,11.0,46.0,42.0
2.4,96.9,254.5,36483340,24.8,7.45,21.0,54.0,25.0
4.4,69.6,155.1,34263166,37.0,5.23,12.0,60.0,28.0
3.2,49.8,117.2,35643196,27.4,5.4,9.0,43.0,47.0
2.3,34.7,242.0,35943280,18.2,6.24,29.0,38.0,33.0
2.3,18.0,93.6,35823622,26.9,4.79,8.0,26.0,66.0
3.4,17.9,78.9,35803608,40.7,5.13,22.0,48.0,30.0
4.4,82.4,726.6,35623612,41.2,6.85,17.0,52.0,31.0
4.5,30.3,449.3,35783656,41.0,5.26,29.0,54.0,17.0
3.3,66.2,665.5,35303284,27.3,7.42,43.0,42.0,14.0
4.3,25.8,121.7,33903796,36.1,4.17,9.0,51.0,41.0
2.8,39.1,163.2,36303178,26.3,6.71,28.0,51.0,22.0
9.0,37.6,216.5,33323140,103.8,4.27,13.0,59.0,28.0
2.1,15.3,77.4,36063490,19.7,6.56,23.0,37.0,40.0
2.5,51.5,245.1,35843900,23.8,5.61,25.0,49.0,26.0
10.7,97.9,467.6,35303698,138.9,4.18,9.0,43.0,48.0
